target zbin ptlow pthigh mr err 
1 7 0.04742881 0.07303792 0.5352991223335266 0.07395728677511215
1 7 0.07303792 0.11247461 0.46278324723243713 0.0332813523709774
1 7 0.11247461 0.17320508 0.4742068946361542 0.02347809076309204
1 7 0.17320508 0.26672686 0.5241917371749878 0.018649952486157417
1 7 0.26672686 0.41074556 0.5951628088951111 0.01741676963865757
1 7 0.41074556 0.63252691 0.6289828419685364 0.01707727462053299
1 7 0.63252691 0.97405871 0.8813928365707397 0.028211258351802826
1 7 0.97405871 1.5 2.067514657974243 0.12496858090162277
1 8 0.02 0.03079896 0.0 0.0
1 8 0.03079896 0.04742881 0.0 0.0
1 8 0.04742881 0.07303792 0.45397666096687317 0.10630688071250916
1 8 0.07303792 0.11247461 0.39799055457115173 0.03961504250764847
1 8 0.11247461 0.17320508 0.4350392818450928 0.028263133019208908
1 8 0.17320508 0.26672686 0.5135097503662109 0.025869334116578102
1 8 0.26672686 0.41074556 0.5915325880050659 0.026111584156751633
1 8 0.41074556 0.63252691 0.6741106510162354 0.02732948027551174
1 8 0.63252691 0.97405871 0.9778470993041992 0.050644516944885254
1 8 0.97405871 1.5 2.7809886932373047 0.28143179416656494
2 4 0.02 0.03079896 0.5031160712242126 0.018129270523786545
2 4 0.03079896 0.04742881 0.4596851170063019 0.010233192704617977
2 4 0.04742881 0.07303792 0.45798414945602417 0.0066684335470199585
2 4 0.07303792 0.11247461 0.46833235025405884 0.0044725751504302025
2 4 0.11247461 0.17320508 0.48537367582321167 0.003240291029214859
2 4 0.17320508 0.26672686 0.5153958797454834 0.002732484834268689
2 4 0.26672686 0.41074556 0.5481193661689758 0.0025921117048710585
2 4 0.41074556 0.63252691 0.7152501940727234 0.003734076861292124
2 4 0.63252691 0.97405871 1.457859992980957 0.01224458310753107
2 4 0.97405871 1.5 4.6952362060546875 0.11400194466114044
2 5 0.02 0.03079896 0.5360415577888489 0.045028019696474075
2 5 0.03079896 0.04742881 0.44827818870544434 0.019892701879143715
2 5 0.04742881 0.07303792 0.45187267661094666 0.012652479112148285
2 5 0.07303792 0.11247461 0.40830567479133606 0.007455857936292887
2 5 0.11247461 0.17320508 0.4499119818210602 0.005575733724981546
2 5 0.17320508 0.26672686 0.4456486701965332 0.004111998248845339
2 5 0.26672686 0.41074556 0.4895542562007904 0.00371348368935287
2 5 0.41074556 0.63252691 0.5451557636260986 0.0042052483186125755
2 5 0.63252691 0.97405871 0.9407620429992676 0.009408392012119293
2 5 0.97405871 1.5 2.80808162689209 0.06085347384214401
2 6 0.02 0.03079896 0.0 0.0
2 6 0.03079896 0.04742881 0.34220290184020996 0.033859383314847946
2 6 0.04742881 0.07303792 0.398202121257782 0.018862273544073105
2 6 0.07303792 0.11247461 0.38727661967277527 0.011672728694975376
2 6 0.11247461 0.17320508 0.42149752378463745 0.00886730756610632
2 6 0.17320508 0.26672686 0.4288770258426666 0.006470547057688236
2 6 0.26672686 0.41074556 0.43930330872535706 0.00526201818138361
2 6 0.41074556 0.63252691 0.5108447074890137 0.005831568967550993
2 6 0.63252691 0.97405871 0.781438410282135 0.010834486223757267
2 6 0.97405871 1.5 1.8321077823638916 0.046931784600019455
2 7 0.02 0.03079896 0.0 0.0
2 7 0.03079896 0.04742881 0.0 0.0
2 7 0.04742881 0.07303792 0.37314292788505554 0.0334913544356823
2 7 0.07303792 0.11247461 0.34984204173088074 0.016374394297599792
2 7 0.11247461 0.17320508 0.37198349833488464 0.011648563668131828
2 7 0.17320508 0.26672686 0.407539427280426 0.009110056795179844
2 7 0.26672686 0.41074556 0.4492800533771515 0.008402230218052864
2 7 0.41074556 0.63252691 0.520984411239624 0.009078441187739372
2 7 0.63252691 0.97405871 0.6881595849990845 0.01352347806096077
2 7 0.97405871 1.5 1.9264029264450073 0.06663689762353897
2 8 0.02 0.03079896 0.0 0.0
2 8 0.03079896 0.04742881 0.0 0.0
2 8 0.04742881 0.07303792 0.2806493043899536 0.04328644648194313
2 8 0.07303792 0.11247461 0.31447935104370117 0.02108951099216938
2 8 0.11247461 0.17320508 0.3123795986175537 0.01311756856739521
2 8 0.17320508 0.26672686 0.3571722209453583 0.012028723955154419
2 8 0.26672686 0.41074556 0.41723036766052246 0.01235264539718628
2 8 0.41074556 0.63252691 0.46163901686668396 0.012807998806238174
2 8 0.63252691 0.97405871 0.9108687043190002 0.029021456837654114
2 8 0.97405871 1.5 2.376824378967285 0.12922585010528564
