gamma	g3f	g3D	Nq1	gq1	dq1	Nq2	gq2	dq2	p_10	p_11	p_12	rep
0	0	0	0	0	0	0	0	0	0	1.30E-02	9.58E-03	191
0	0	0	0	0	0	0	0	0	0	2.36E-02	8.73E-03	192
0	0	0	0	0	0	0	0	0	0	1.75E-02	9.71E-03	193
0	0	0	0	0	0	0	0	0	0	1.74E-02	1.03E-02	194
0	0	0	0	0	0	0	0	0	0	1.93E-02	9.37E-03	195
0	0	0	0	0	0	0	0	0	0	9.73E-03	9.71E-03	196
0	0	0	0	0	0	0	0	0	0	2.50E-02	7.75E-03	197
0	0	0	0	0	0	0	0	0	0	2.16E-02	8.38E-03	198
0	0	0	0	0	0	0	0	0	0	1.97E-02	9.72E-03	199
0	0	0	0	0	0	0	0	0	0	1.40E-02	1.01E-02	200
0	0	0	0	0	0	0	0	0	0	1.86E-02	9.04E-03	201
0	0	0	0	0	0	0	0	0	0	1.69E-02	9.98E-03	202
0	0	0	0	0	0	0	0	0	0	1.83E-02	8.51E-03	203
0	0	0	0	0	0	0	0	0	0	2.08E-02	1.01E-02	204
0	0	0	0	0	0	0	0	0	0	1.54E-02	9.29E-03	205
0	0	0	0	0	0	0	0	0	0	1.23E-02	1.03E-02	206
0	0	0	0	0	0	0	0	0	0	1.45E-02	9.67E-03	207
0	0	0	0	0	0	0	0	0	0	1.76E-02	9.56E-03	208
0	0	0	0	0	0	0	0	0	0	1.28E-02	9.72E-03	209
0	0	0	0	0	0	0	0	0	0	1.97E-02	8.35E-03	210
0	0	0	0	0	0	0	0	0	0	1.60E-02	1.09E-02	211
0	0	0	0	0	0	0	0	0	0	1.70E-02	9.73E-03	212
0	0	0	0	0	0	0	0	0	0	1.21E-02	1.03E-02	213
0	0	0	0	0	0	0	0	0	0	1.37E-02	1.13E-02	214
0	0	0	0	0	0	0	0	0	0	1.86E-02	8.69E-03	215
0	0	0	0	0	0	0	0	0	0	1.74E-02	1.02E-02	216
0	0	0	0	0	0	0	0	0	0	1.39E-02	9.49E-03	217
0	0	0	0	0	0	0	0	0	0	1.23E-02	1.06E-02	218
0	0	0	0	0	0	0	0	0	0	1.10E-02	1.05E-02	219
0	0	0	0	0	0	0	0	0	0	1.15E-02	1.15E-02	220
0	0	0	0	0	0	0	0	0	0	1.48E-02	1.11E-02	221
0	0	0	0	0	0	0	0	0	0	1.54E-02	9.76E-03	222
0	0	0	0	0	0	0	0	0	0	2.00E-02	8.73E-03	223
0	0	0	0	0	0	0	0	0	0	1.51E-02	1.03E-02	224
0	0	0	0	0	0	0	0	0	0	1.86E-02	8.90E-03	225
0	0	0	0	0	0	0	0	0	0	1.36E-02	1.06E-02	226
