   0.20000E+00  -0.23966E+01   0.17389E+00   0.23806E+00   0.34199E+00   0.10334-315   0.25997E+00   0.17388E+00   0.19913E+00
   0.20000E+00  -0.21616E+01   0.22209E+00   0.30422E+00   0.43649E+00   0.13071-315   0.33174E+00   0.22209E+00   0.25521E+00
   0.20000E+00  -0.19267E+01   0.28306E+00   0.38816E+00   0.55623E+00   0.16533-315   0.42261E+00   0.28306E+00   0.32654E+00
   0.20000E+00  -0.16917E+01   0.35967E+00   0.49415E+00   0.70726E+00   0.20912-315   0.53722E+00   0.35966E+00   0.41685E+00
   0.20000E+00  -0.14567E+01   0.45532E+00   0.62742E+00   0.89689E+00   0.26451-315   0.68105E+00   0.45531E+00   0.53065E+00
   0.20000E+00  -0.12218E+01   0.57370E+00   0.79402E+00   0.11335E+01   0.33457-315   0.86030E+00   0.57369E+00   0.67340E+00
   0.20000E+00  -0.98682E+00   0.71823E+00   0.99994E+00   0.14249E+01   0.42318-315   0.10812E+01   0.71827E+00   0.85022E+00
   0.20000E+00  -0.75186E+00   0.89093E+00   0.12506E+01   0.17790E+01   0.53526-315   0.13495E+01   0.89086E+00   0.10657E+01
   0.20000E+00  -0.51691E+00   0.10910E+01   0.15496E+01   0.22001E+01   0.67702-315   0.16688E+01   0.10910E+01   0.13226E+01
   0.20000E+00  -0.28195E+00   0.13113E+01   0.18953E+01   0.26841E+01   0.85634-315   0.20365E+01   0.13114E+01   0.16186E+01
   0.20000E+00  -0.46992E-01   0.15448E+01   0.22866E+01   0.32256E+01   0.10831-314   0.24508E+01   0.15449E+01   0.19516E+01
   0.20000E+00   0.18797E+00   0.17996E+01   0.27369E+01   0.38394E+01   0.13700-314   0.29251E+01   0.17997E+01   0.23340E+01
   0.20000E+00   0.42292E+00   0.20389E+01   0.32210E+01   0.44751E+01   0.17329-314   0.34316E+01   0.20389E+01   0.27388E+01
   0.20000E+00   0.65788E+00   0.24521E+01   0.39430E+01   0.54507E+01   0.21918-314   0.41944E+01   0.24520E+01   0.33480E+01
   0.20000E+00   0.89284E+00   0.31016E+01   0.49873E+01   0.68944E+01   0.27723-314   0.53053E+01   0.31014E+01   0.42347E+01
   0.20000E+00   0.11278E+01   0.39231E+01   0.63082E+01   0.87204E+01   0.35066-314   0.67104E+01   0.39229E+01   0.53563E+01
   0.20000E+00   0.13628E+01   0.49621E+01   0.79790E+01   0.11030E+02   0.44354-314   0.84877E+01   0.49618E+01   0.67749E+01
   0.20000E+00   0.15977E+01   0.62764E+01   0.10092E+02   0.13951E+02   0.56101-314   0.10736E+02   0.62760E+01   0.85692E+01
   0.20000E+00   0.18327E+01   0.79387E+01   0.12765E+02   0.17646E+02   0.70960-314   0.13579E+02   0.79383E+01   0.10839E+02
   0.20000E+00   0.20676E+01   0.10041E+02   0.16146E+02   0.22320E+02   0.89754-314   0.17176E+02   0.10041E+02   0.13710E+02
   0.20000E+00   0.23026E+01   0.12701E+02   0.20423E+02   0.28232E+02   0.11353-313   0.21725E+02   0.12700E+02   0.17341E+02
   0.21000E+00  -0.92103E+01   0.13798E-03   0.19482E-03   0.28893E-03   0.10902-318   0.21784E-03   0.13801E-03   0.15442E-03
   0.21000E+00  -0.89754E+01   0.17452E-03   0.24642E-03   0.36545E-03   0.13789-318   0.27553E-03   0.17456E-03   0.19532E-03
   0.21000E+00  -0.87404E+01   0.22075E-03   0.31168E-03   0.46225E-03   0.17442-318   0.34851E-03   0.22079E-03   0.24705E-03
   0.21000E+00  -0.85055E+01   0.27921E-03   0.39424E-03   0.58468E-03   0.22061-318   0.44081E-03   0.27927E-03   0.31248E-03
   0.21000E+00  -0.82705E+01   0.35316E-03   0.49865E-03   0.73953E-03   0.27904-318   0.55756E-03   0.35324E-03   0.39524E-03
   0.21000E+00  -0.80356E+01   0.44670E-03   0.63072E-03   0.93540E-03   0.35295-318   0.70524E-03   0.44679E-03   0.49993E-03
   0.21000E+00  -0.78006E+01   0.56501E-03   0.79777E-03   0.11831E-02   0.44643-318   0.89202E-03   0.56513E-03   0.63233E-03
   0.21000E+00  -0.75656E+01   0.71466E-03   0.10091E-02   0.14965E-02   0.56467-318   0.11283E-02   0.71480E-03   0.79981E-03
   0.21000E+00  -0.73307E+01   0.90394E-03   0.12763E-02   0.18929E-02   0.71422-318   0.14271E-02   0.90412E-03   0.10116E-02
   0.21000E+00  -0.70957E+01   0.11434E-02   0.16144E-02   0.23942E-02   0.90339-318   0.18051E-02   0.11436E-02   0.12796E-02
   0.21000E+00  -0.68608E+01   0.14462E-02   0.20419E-02   0.30283E-02   0.11427-317   0.22832E-02   0.14465E-02   0.16185E-02
   0.21000E+00  -0.66258E+01   0.18292E-02   0.25828E-02   0.38304E-02   0.14453-317   0.28879E-02   0.18296E-02   0.20472E-02
   0.21000E+00  -0.63908E+01   0.23137E-02   0.32668E-02   0.48449E-02   0.18281-317   0.36528E-02   0.23141E-02   0.25894E-02
   0.21000E+00  -0.61559E+01   0.29265E-02   0.41320E-02   0.61281E-02   0.23123-317   0.46202E-02   0.29271E-02   0.32752E-02
   0.21000E+00  -0.59209E+01   0.37016E-02   0.52264E-02   0.77511E-02   0.29247-317   0.58439E-02   0.37023E-02   0.41426E-02
   0.21000E+00  -0.56860E+01   0.46819E-02   0.66107E-02   0.98040E-02   0.36993-317   0.73917E-02   0.46829E-02   0.52398E-02
   0.21000E+00  -0.54510E+01   0.59986E-02   0.84574E-02   0.12535E-01   0.46791-317   0.94494E-02   0.59997E-02   0.67175E-02
   0.21000E+00  -0.52161E+01   0.77106E-02   0.10851E-01   0.16070E-01   0.59184-317   0.12112E-01   0.77121E-02   0.86419E-02
   0.21000E+00  -0.49811E+01   0.99120E-02   0.13925E-01   0.20605E-01   0.74859-317   0.15526E-01   0.99133E-02   0.11119E-01
   0.21000E+00  -0.47461E+01   0.12743E-01   0.17869E-01   0.26422E-01   0.94685-317   0.19905E-01   0.12742E-01   0.14309E-01
   0.21000E+00  -0.45112E+01   0.16385E-01   0.22936E-01   0.33883E-01   0.11976-316   0.25519E-01   0.16383E-01   0.18417E-01
   0.21000E+00  -0.42762E+01   0.21069E-01   0.29443E-01   0.43457E-01   0.15148-316   0.32722E-01   0.21067E-01   0.23708E-01
   0.21000E+00  -0.40413E+01   0.27091E-01   0.37797E-01   0.55743E-01   0.19160-316   0.41957E-01   0.27090E-01   0.30527E-01
   0.21000E+00  -0.38063E+01   0.34832E-01   0.48521E-01   0.71498E-01   0.24235-316   0.53792E-01   0.34832E-01   0.39304E-01
   0.21000E+00  -0.35714E+01   0.44777E-01   0.62287E-01   0.91696E-01   0.30654-316   0.68962E-01   0.44781E-01   0.50601E-01
   0.21000E+00  -0.33364E+01   0.57548E-01   0.79947E-01   0.11759E+00   0.38773-316   0.88398E-01   0.57555E-01   0.65149E-01
