	rep	chi2	aN	bN	g2A	a2	g2B	B2
24	24	211.362	1.5370000199823042E-002	1.0385050544649138E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
25	25	212.982	2.0803851619349292E-002	8.4639398239975752E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
26	26	261.608	1.9262803255096647E-002	8.7189015047324098E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
27	27	241.920	1.8854188783105602E-002	8.4251244766386929E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
28	28	239.377	1.5948571410283996E-002	9.4682977482957661E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
29	29	238.984	1.9876214265754422E-002	9.1267633183846480E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
30	30	212.444	1.8320923502851152E-002	8.5490837125844626E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
31	31	216.394	2.2035256878610646E-002	8.9243084613212717E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
32	32	241.497	1.9713704173585159E-002	7.3428344138005350E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
33	33	240.778	2.2369008252861686E-002	8.2309486689190123E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
34	34	199.495	2.4950917693854435E-002	7.4645122163553637E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
35	35	256.690	1.3353323448899876E-002	9.9429433627539268E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
36	36	254.884	1.7053615399256927E-002	9.0790185179583996E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
37	37	211.816	2.4742418865597346E-002	7.9963892451159618E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
38	38	251.271	1.8324831654218832E-002	1.0097510228368120E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
39	39	238.923	2.0408947603543628E-002	8.3556345396444964E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
40	40	234.009	1.7744757990962284E-002	8.7872188920155442E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
41	41	246.845	2.1397448581713482E-002	8.9319227102752224E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
42	42	264.729	1.7725023754753030E-002	8.4889939595192490E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
43	43	223.819	1.7019707200909812E-002	8.2500364452575414E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
44	44	253.941	2.1379744136013443E-002	8.6325424391307040E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
