	rep	chi2	aN	bN	g2A	a2	g2B	B2
58	58	186.326	1.5581569807906023E-002	9.6093443049733857E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
59	59	203.230	1.7431201121500595E-002	1.0137866461354055E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
60	60	181.976	1.6146568540618536E-002	8.5767817569182281E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
61	61	151.175	1.4924377277234599E-002	8.6314920186586486E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
62	62	192.379	1.5398413397732361E-002	1.0022488950868144E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
63	63	202.667	1.3962982450493155E-002	9.6774456618723345E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
64	64	183.001	1.7754434136470487E-002	9.9734934914881695E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
65	65	177.240	1.3464349773657416E-002	8.6488791417452665E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
66	66	165.483	1.7002581100153277E-002	8.6336130386239079E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
67	67	212.248	1.6303052364476725E-002	8.8039413860930976E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
68	68	164.978	1.5558853262961636E-002	9.7416908492657522E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
69	69	192.990	1.2672066253309175E-002	1.0523869307909946E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
70	70	185.705	2.1398114058484921E-002	9.0866813869785040E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
71	71	216.297	1.9209009423811929E-002	8.1249017834998660E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
72	72	198.607	1.7580790235314184E-002	9.1983262445394648E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
73	73	192.667	1.5975594004984189E-002	1.0384268149767485E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
74	74	160.206	1.4486030212682202E-002	1.0432221830780221E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
75	75	180.501	1.7428862785066140E-002	9.3152675992478964E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
76	76	166.853	1.5295089692445377E-002	8.1131077155375403E-003	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
77	77	155.112	1.6488837625915923E-002	1.0493745618267825E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
78	78	189.324	1.6798456356578575E-002	1.0156362465309730E-002	0.0000000000000000	0.0000000000000000.1	0.0000000000000000.2	0.0000000000000000.3
